year,month,day,julday,lat,lon,updep,lowdep,depth,gear,mesh,dataset_ID,Cglac1_abunm2,Cglac2_abunm2,Cglac3_abunm2,Cglac4_abunm2,Cglac5_abunm2,Cglac6_abunm2,Cglac6f_abunm2,Cglac6m_abunm2,Chypc1_abunm2,Chypc2_abunm2,Chypc3_abunm2,Chypc4_abunm2,Chypc5_abunm2,Chypc6_abunm2,Chypc6f_abunm2,Chypc6m_abunm2,Cgla_abunm2,Chyp_abunm2,Cglac1_abunm2_corr,Cglac2_abunm2_corr,Cglac3_abunm2_corr,Cglac4_abunm2_corr,Cglac5_abunm2_corr,Cglac6_abunm2_corr,Cglac6f_abunm2_corr,Cglac6m_abunm2_corr,Chypc1_abunm2_corr,Chypc2_abunm2_corr,Chypc3_abunm2_corr,Chypc4_abunm2_corr,Chypc5_abunm2_corr,Chypc6_abunm2_corr,Chypc6f_abunm2_corr,Chypc6m_abunm2_corr,Cgla_abunm2_corr,Chyp_abunm2_corr
1993,6,15,166,48.66667,-68.58333,0,250,340,Ring net 1.0m (1.0 m),333,34,,,,,,,,,,,,,,,1400.55,,0,1400.55,,,,,,,,,,,,,,,1400.55,,0,1400.55
1993,6,21,172,48.66767,-68.58617,0,250,340,Ring net 1.0m (1.0 m),333,34,,,,,,,,,,,,,,,2886,,0,2886,,,,,,,,,,,,,,,2886,,0,2886
1993,6,21,172,66.325,33.65666667,0,65,65,Juday Net (Tropical or Large),168,30,2000,1000,5125,565,1775,0,0,95,0,0,0,0,0,0,0,0,10560,0,2005.29927,1000.034403,5125.000154,565,1775,0,0,95,0,0,0,0,0,0,0,0,10565.33383,0
1993,6,25,176,48.66667,-68.58333,0,250,340,Ring net 1.0m (1.0 m),333,34,,,,,,,,,,,,,,,2240.9,,0,2240.9,,,,,,,,,,,,,,,2240.9,,0,2240.9
1993,6,27,178,75,-3,0,1500,3689,Multinet,150,43,,,,,,,,,2516.16,5032.32,1467.760001,733.8799995,209.6800005,,419.3599995,0,0,10379.16,,,,,,,,,2516.947538,5032.325291,1467.760004,733.8799995,209.6800005,,419.3599995,0,0,10379.95283
1993,6,28,179,48.668,-68.58833,0,250,340,Ring net 1.0m (1.0 m),333,34,,,,,,,,,,,,,,,2737.45,,0,2737.45,,,,,,,,,,,,,,,2737.45,,0,2737.45
1993,6,30,181,48.66,-68.58867,0,250,340,Ring net 1.0m (1.0 m),333,34,,,,,,,,,,,,,,,2206.95,,0,2206.95,,,,,,,,,,,,,,,2206.95,,0,2206.95
1993,7,3,184,66.325,33.65666667,0,65,65,Juday Net (Tropical or Large),168,30,80,0,3975,1200,1125,0,0,95,0,0,0,0,0,0,0,0,6475,0,80.21197081,0,3975.000119,1200,1125,0,0,95,0,0,0,0,0,0,0,0,6475.21209,0
1993,7,5,186,48.66783,-68.586,0,250,340,Ring net 1.0m (1.0 m),333,34,,,,,,,,,,,,,,,2808.6,,0,2808.6,,,,,,,,,,,,,,,2808.6,,0,2808.6
1993,7,8,189,48.6675,-68.586,0,250,340,Ring net 1.0m (1.0 m),333,34,,,,,,,,,,,,,,,1680.675,,0,1680.675,,,,,,,,,,,,,,,1680.675,,0,1680.675
1993,7,10,191,66.325,33.65666667,0,65,65,Juday Net (Tropical or Large),168,30,0,0,6640,9060,1015,0,0,40,0,0,0,0,0,0,0,0,16755,0,0,0,6640.000199,9060,1015,0,0,40,0,0,0,0,0,0,0,0,16755.0002,0
1993,7,12,193,48.6695,-68.5885,0,250,340,Ring net 1.0m (1.0 m),333,34,,,,,,,,,,,,,,,1209.575,,0,1209.575,,,,,,,,,,,,,,,1209.575,,0,1209.575
1993,7,15,196,48.66783,-68.58083,0,250,340,Ring net 1.0m (1.0 m),333,34,,,,,,,,,,,,,,,1273.225,,0,1273.225,,,,,,,,,,,,,,,1273.225,,0,1273.225
1993,7,19,200,48.66667,-68.58333,0,250,340,Ring net 1.0m (1.0 m),333,34,,,,,,,,,,,,,,,763.95,,0,763.95,,,,,,,,,,,,,,,763.95,,0,763.95
1993,7,21,202,66.325,33.65666667,0,65,65,Juday Net (Tropical or Large),168,30,0,0,1095,3675,360,0,0,40,0,0,0,0,0,0,0,0,5170,0,0,0,1095.000033,3675,360,0,0,40,0,0,0,0,0,0,0,0,5170.000033,0
1993,7,22,203,48.68517,-68.571,0,250,340,Ring net 1.0m (1.0 m),333,34,,,,,,,,,,,,,,,509.3,,0,509.3,,,,,,,,,,,,,,,509.3,,0,509.3
1993,7,24,205,80.367,-1.88,0,248,4036.30127,Mocness,149,3,430.2,36,2,116.2,138.9,0,120.2,0,0,0,56,726,864,0,455.9,0,843.5,2101.9,430.3719448,36.00010736,2.000000002,116.2,138.9,0,120.2,0,0,0,56.00000011,726,864,0,455.9,0,843.6720521,2101.9
1993,7,27,208,80.35,-1.142,0,273,3511.962891,Mocness,149,3,144.5,47,20.5,194.9,143,0,16,0,32,4,39,139.2,261.6,0,79.4,4.9,565.9,560.1,144.5577546,47.00014017,20.50000002,194.9,143,0,16,0,32.00893762,4.000003612,39.00000007,139.2,261.6,0,79.4,4.9,565.9578948,560.1089413
1993,7,28,209,48.667,-68.58283,0,250,340,Ring net 1.0m (1.0 m),333,34,,,,,,,,,,,,,,,2164.5,,0,2164.5,,,,,,,,,,,,,,,2164.5,,0,2164.5
1993,7,28,209,80.45,-1.258,0,274,2897.159912,Mocness,149,3,12,36,14,136,134.45,0,44,0,0,26,68,858,1042,0,240.45,0,376.45,2234.45,12.00479623,36.00010736,14.00000001,136,134.45,0,44,0,0,26.00002348,68.00000013,858,1042,0,240.45,0,376.4549036,2234.450024
1993,7,29,210,80.45,-1.285,0,272,2978.394043,Mocness,149,3,122.2,38,16,156.1,151,0,32,0,0,40,60,400.8,265.4,0,54,0,515.3,820.2,122.2488416,38.00011333,16.00000002,156.1,151,0,32,0,0,40.00003612,60.00000012,400.8,265.4,0,54,0,515.3489549,820.2000362
1993,7,31,212,66.325,33.65666667,0,65,65,Juday Net (Tropical or Large),168,30,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,75,0
1993,8,1,213,75,-3,0,1500,3690,Multinet,150,43,,,,,,,,,148.0000005,444,3996,1258.000001,295.9999995,,1184,0,0,7326,,,,,,,,,148.0463233,444.0004668,3996.000009,1258.000001,295.9999995,,1184,0,0,7326.046799
1993,8,3,215,80.45,-0.347,0,232,2478.884766,Mocness,149,3,1702.4,334,44,66.8,249.7,0,168.4,0,81,585.9,678.8,515.6,171.6,0,112.8,0,2565.3,2145.7,1703.080425,334.0009961,44.00000005,66.8,249.7,0,168.4,0,81.02262336,585.9005291,678.8000013,515.6,171.6,0,112.8,0,2565.981421,2145.723154
1993,8,4,216,48.66667,-68.58333,0,250,340,Ring net 1.0m (1.0 m),333,34,,,,,,,12.725,,,,,,,,879.425,,12.725,879.425,,,,,,,12.72500001,,,,,,,,879.425,,12.72500001,879.425
1993,8,8,220,79.717,-1.488,0,202,2673.583984,Mocness,149,3,44,93.3,2.1,83,228.3,0,22.6,0,2,39.1,17.7,374.3,460.2,0,17.8,0,473.3,911.1,44.01758617,93.30027825,2.100000002,83,228.3,0,22.6,0,2.000558601,39.10003531,17.70000003,374.3,460.2,0,17.8,0,473.3178644,911.1005939
1993,8,9,221,48.66667,-68.58333,0,250,340,Ring net 1.0m (1.0 m),333,34,,,,,,,,,,,,,,,1655.2,,0,1655.2,,,,,,,,,,,,,,,1655.2,,0,1655.2
1993,8,10,222,80.4,-1.363,0,300,3587.862793,Mocness,149,3,609.8,577,347.5,55.1,239.1,0,0,0,134.6,2975.4,4383.7,4757.4,761.1,0,376,5,1828.5,13393.2,610.0437283,577.0017208,347.5000004,55.1,239.1,0,0,0,134.6375939,2975.402687,4383.700008,4757.4,761.1,0,376,5,1828.745449,13393.24029
1993,8,11,223,66.325,33.65666667,0,65,65,Juday Net (Tropical or Large),168,30,0,0,0,3040,95,0,0,0,0,0,0,0,0,0,0,0,3135,0,0,0,0,3040,95,0,0,0,0,0,0,0,0,0,0,0,3135,0
1993,8,11,223,80.167,-8.198,0,294,302.2360229,Mocness,149,3,1022.2,221,194.6,100.4,210.2,0,82.2,0,89.8,466.2,838.8,336,187.6,0,71.2,0,1830.6,1989.6,1022.608559,221.0006591,194.6000002,100.4,210.2,0,82.2,0,89.82508121,466.200421,838.8000016,336,187.6,0,71.2,0,1831.009218,1989.625504
1993,8,11,223,80.417,-1.273,0,256,3283.652588,Mocness,149,3,288,150.1,54.1,92.4,290.2,0,61.5,0,28,42,50.2,178.3,191.7,0,22.5,0,936.3,512.7,288.1151095,150.1004476,54.10000006,92.4,290.2,0,61.5,0,28.00782042,42.00003793,50.2000001,178.3,191.7,0,22.5,0,936.4155572,512.7078584
1993,8,12,224,48.66533,-68.5835,0,250,340,Ring net 1.0m (1.0 m),333,34,,,,,,,,,,,,,,,1527.875,,0,1527.875,,,,,,,,,,,,,,,1527.875,,0,1527.875
1993,8,12,224,79.533,-1.272,0,200,2707.801025,Mocness,149,3,30,196,12,42,765,0,135,0,0,74,146,707,511,0,49,0,1180,1487,30.01199057,196.0005845,12.00000001,42,765,0,135,0,0,74.00006683,146.0000003,707,511,0,49,0,1180.012575,1487.000067
1993,8,12,224,81.2,30.6,0,160,179,MultiNet,150,31,128,64,28,104,300,0,208,0,0,0,4,12,240,0,32,0,832,288,128.0571942,64.00022046,28.00000004,104,300,0,208,0,0,0,4.000000009,12,240,0,32,0,832.0574147,288
1993,8,13,225,81.45,34.5833,0,1500,2719,MultiNet,150,31,264,63.95,152,544.05,487.95,0,304,0,0,0,403.95,3555.95,804,0,496,0,1815.95,5259.9,264.117963,63.95022029,152.0000002,544.05,487.95,0,304,0,0,0,403.9500009,3555.95,804,0,496,0,1816.068183,5259.900001
1993,8,13,225,81.6667,30.2667,0,500,525,MultiNet,150,31,1952.1,1712,767.9,2128.1,988.1,0,439.9,0,0,8,503.9,1571.9,156.1,0,48.1,0,7988.1,2288,1952.972256,1712.005897,767.900001,2128.1,988.1,0,439.9,0,0,8.000008412,503.9000012,1571.9,156.1,0,48.1,0,7988.978154,2288.00001
1993,8,15,227,82.2,30.8833,0,1500,2465,MultiNet,150,31,64,0,8,0,48,0,64.05,0,0,0,24,116,436.05,0,472,0,184.05,1048.05,64.02859709,0,8.00000001,0,48,0,64.05,0,0,0,24.00000006,116,436.05,0,472,0,184.0785971,1048.05
1993,8,16,228,48.662,-68.576,0,250,340,Ring net 1.0m (1.0 m),333,34,,,,,,,,,,,,,,,827.6,,0,827.6,,,,,,,,,,,,,,,827.6,,0,827.6
1993,8,18,230,82.75,40.25,0,1500,2994,MultiNet,150,31,0,0,0,4,16.05,0,48.05,0,0,0,12,4,160,0,175.95,0,68.1,351.95,0,0,0,4,16.05,0,48.05,0,0,0,12.00000003,4,160,0,175.95,0,68.1,351.95
1993,8,19,231,48.66967,-68.57517,0,250,340,Ring net 1.0m (1.0 m),333,34,,,,,,,,,,,,,,,1018.6,,0,1018.6,,,,,,,,,,,,,,,1018.6,,0,1018.6
1993,8,20,232,82.15,42.0333,0,1000,1004,MultiNet,150,31,172,188,163.85,628.05,160.05,0,120.05,0,0,0,144,2551.9,232.1,0,135.9,0,1432,3063.9,172.0768547,188.0006476,163.8500002,628.05,160.05,0,120.05,0,0,0,144.0000003,2551.9,232.1,0,135.9,0,1432.077503,3063.9
1993,8,21,233,66.325,33.65666667,0,65,65,Juday Net (Tropical or Large),168,30,0,0,0,2785,40,0,0,40,0,0,0,0,0,0,0,0,2865,0,0,0,0,2785,40,0,0,40,0,0,0,0,0,0,0,0,2865,0
1993,8,21,233,82.0167,43.5667,0,200,280,MultiNet,150,31,4,156,124,36,172,0,280,4,0,16,128,196,88,0,44,0,776,472,4.001787318,156.0005374,124.0000002,36,172,0,280,4,0,16.00001682,128.0000003,196,88,0,44,0,776.0023249,472.0000171
1993,8,24,236,48.66667,-68.58333,0,250,340,Ring net 1.0m (1.0 m),333,34,,,,,,,,,,,,,,,2716.25,,0,2716.25,,,,,,,,,,,,,,,2716.25,,0,2716.25
1993,8,26,238,48.66767,-68.582,0,250,340,Ring net 1.0m (1.0 m),333,34,,,,,,,,,,,,,,,1591.55,,0,1591.55,,,,,,,,,,,,,,,1591.55,,0,1591.55
1993,8,27,239,77.8867,101.655,0,120,135,MultiNet,150,31,0,0,0,1130.09,1448.7,0,64.9,12,0,7.75,126.875,224.005,24,0,0,0,2655.69,382.63,0,0,0,1130.09,1448.7,0,64.9,12,0,7.750008149,126.8750003,224.005,24,0,0,0,2655.69,382.6300084
1993,8,30,242,48.66717,-68.57867,0,250,340,Ring net 1.0m (1.0 m),333,34,,,,,,,,,,,,,,,1591.55,,0,1591.55,,,,,,,,,,,,,,,1591.55,,0,1591.55
1993,8,31,243,66.325,33.65666667,0,65,65,Juday Net (Tropical or Large),168,30,0,0,0,15,40,0,0,40,0,0,0,0,0,0,0,0,95,0,0,0,0,15,40,0,0,40,0,0,0,0,0,0,0,0,95,0
1993,9,1,244,76.5,133.3333,0,30,38,MultiNet,150,31,0,0,0,48,508,0,112,4,0,0,0,8,24,0,0,0,672,32,0,0,0,48,508,0,112,4,0,0,0,8,24,0,0,0,672,32
1993,9,2,245,48.66983,-68.582,0,250,340,Ring net 1.0m (1.0 m),333,34,,,,,,,,,,,,,,,2228.175,,0,2228.175,,,,,,,,,,,,,,,2228.175,,0,2228.175
1993,9,2,245,78.7167,132.35,0,1500,2975,MultiNet,150,31,0,0,0,36.05,411.9,0,644,7.95,0,32.05,96.1,843.85,607.85,0,240.05,0,1099.9,1819.9,0,0,0,36.05,411.9,0,644,7.95,0,32.0500337,96.10000022,843.85,607.85,0,240.05,0,1099.9,1819.900034
1993,9,4,247,78.3833,133.0667,0,1500,2062,MultiNet,150,31,0,0,0,111.9,1064.1,0,611.95,7.95,0,7.95,95.9,687.95,260,0,168.05,0,1795.9,1219.85,0,0,0,111.9,1064.1,0,611.95,7.95,0,7.950008359,95.90000022,687.95,260,0,168.05,0,1795.9,1219.850009
1993,9,5,248,78.0667,133.55,0,200,243,MultiNet,150,31,0,0,0,2976.555,2235.4,0,530.7,68.005,0,16.175,112.68,48,72,0,20,0,5810.66,268.855,0,0,0,2976.555,2235.4,0,530.7,68.005,0,16.17501701,112.6800003,48,72,0,20,0,5810.66,268.8550173
1993,9,5,248,78.1,133.5167,0,450,514,MultiNet,150,31,0,0,0,1358.375,2188.9,0,334.95,48,0,17.35,120.175,108,80,0,32,0,3930.225,357.525,0,0,0,1358.375,2188.9,0,334.95,48,0,17.35001824,120.1750003,108,80,0,32,0,3930.225,357.5250185
1993,9,5,248,78.1433,133.3867,0,950,869,MultiNet,150,31,0,0,0,320.05,2228,0,639.85,4.05,0,12,64.1,292,368,0,152.35,4.05,3191.95,892.5,0,0,0,320.05,2228,0,639.85,4.05,0,12.00001262,64.10000015,292,368,0,152.35,4.05,3191.95,892.5000128
1993,9,6,249,77.4,133.5833,0,30,53,MultiNet,150,31,0,0,0,101.38,278.99,0,36,12,0,0,4,20,20,0,0,0,428.37,44,0,0,0,101.38,278.99,0,36,12,0,0,4.000000009,20,20,0,0,0,428.37,44.00000001
1993,9,6,249,77.9,133.5667,0,50,72,MultiNet,150,31,0,0,0,3492.06,1146.305,0,140.005,32,0,8,32.4,40,23.995,0,4.005,0,4810.37,108.4,0,0,0,3492.06,1146.305,0,140.005,32,0,8.000008412,32.40000008,40,23.995,0,4.005,0,4810.37,108.4000085
1993,9,7,250,77.0333,126.4,0,70,93,MultiNet,150,31,0,0,0,120.005,698.98,0,68.005,12,0,87.61,233.245,47.995,140.005,0,28.005,0,898.99,536.86,0,0,0,120.005,698.98,0,68.005,12,0,87.61009212,233.2450005,47.995,140.005,0,28.005,0,898.99,536.8600927
1993,9,8,251,48.66667,-68.58333,0,250,340,Ring net 1.0m (1.0 m),333,34,,,,,,,,,,,,,,,2801.125,,0,2801.125,,,,,,,,,,,,,,,2801.125,,0,2801.125
1993,9,8,251,77.1833,126.2333,0,950,990,MultiNet,150,31,0,0,0,212.15,887.85,0,495.9,7.95,0,32.05,348.15,563.85,447.75,0,147.8,0,1603.85,1539.6,0,0,0,212.15,887.85,0,495.9,7.95,0,32.0500337,348.1500008,563.85,447.75,0,147.8,0,1603.85,1539.600035
1993,9,9,252,77.1,126.3167,0,200,200,MultiNet,150,31,0,0,0,268.085,1326.57,0,389.3,36,0,32.995,339.475,115.995,175.995,0,44,0,2019.955,708.46,0,0,0,268.085,1326.57,0,389.3,36,0,32.99503469,339.4750008,115.995,175.995,0,44,0,2019.955,708.4600355
1993,9,9,252,77.1333,126.3833,0,500,544,MultiNet,150,31,0,0,0,99.03,1320.875,0,706.125,15.9,0,36.05,185.285,120.055,256.05,0,76.105,0,2141.93,673.545,0,0,0,99.03,1320.875,0,706.125,15.9,0,36.05003791,185.2850004,120.055,256.05,0,76.105,0,2141.93,673.5450383
1993,9,10,253,77.7333,125.7667,0,1500,1990,MultiNet,150,31,0,0,0,95.9,699.95,0,524,0,0,0,159.9,1187.85,731.9,0,268.15,0,1319.85,2347.8,0,0,0,95.9,699.95,0,524,0,0,0,159.9000004,1187.85,731.9,0,268.15,0,1319.85,2347.8
1993,9,11,254,66.325,33.65666667,0,65,65,Juday Net (Tropical or Large),168,30,0,0,0,875,40,0,0,0,0,0,0,0,0,0,0,0,915,0,0,0,0,875,40,0,0,0,0,0,0,0,0,0,0,0,915,0
1993,9,12,255,79.25,122.8833,0,1500,3244,MultiNet,150,31,0,0,0,64.15,356,0,851.9,4,0,0,100,667.95,1091.85,0,364.05,0,1276.05,2223.85,0,0,0,64.15,356,0,851.9,4,0,0,100.0000002,667.95,1091.85,0,364.05,0,1276.05,2223.85
1993,9,13,256,79.1833,119.9,0,1500,3071,MultiNet,150,31,0,0,0,96.05,412.05,0,808.05,4.05,0,0,148.05,1156.05,1464,0,388.1,0,1320.2,3156.2,0,0,0,96.05,412.05,0,808.05,4.05,0,0,148.0500003,1156.05,1464,0,388.1,0,1320.2,3156.2
1993,9,14,257,78.6667,118.5667,0,1500,2618,MultiNet,150,31,0,0,0,227.95,687.95,0,984.05,4,0,0,104,1196.05,1271.85,0,432.05,0,1903.95,3003.95,0,0,0,227.95,687.95,0,984.05,4,0,0,104.0000002,1196.05,1271.85,0,432.05,0,1903.95,3003.95
1993,9,15,258,78,118.7333,0,1500,1930,MultiNet,150,31,0,0,0,180.05,775.95,0,544.05,0,0,0,28,720.05,1112.05,0,320.05,0,1500.05,2180.15,0,0,0,180.05,775.95,0,544.05,0,0,0,28.00000007,720.05,1112.05,0,320.05,0,1500.05,2180.15
1993,9,16,259,48.66667,-68.58333,0,250,340,Ring net 1.0m (1.0 m),333,34,,,,,,,,,,,,,,,1273.225,,0,1273.225,,,,,,,,,,,,,,,1273.225,,0,1273.225
1993,9,16,259,77.5667,118.4333,0,1000,1181,MultiNet,150,31,0,0,0,244.1,1367.9,0,544,12,0,0,76.1,572,556,0,96.1,0,2168,1300.2,0,0,0,244.1,1367.9,0,544,12,0,0,76.10000018,572,556,0,96.1,0,2168,1300.2
1993,9,17,260,77.4,118.1833,0,500,554,MultiNet,150,31,0,0,0,150.1,1018.75,0,546.875,19.9,0,0,20,144,208,0,39.9,0,1735.625,411.9,0,0,0,150.1,1018.75,0,546.875,19.9,0,0,20.00000005,144,208,0,39.9,0,1735.625,411.9
1993,9,18,261,77.1833,118.7333,0,80,106,MultiNet,150,31,0,0,0,190.64,2477.965,0,326.255,36.015,0,0,23.99,148.01,103.995,0,15.995,0,3030.875,291.99,0,0,0,190.64,2477.965,0,326.255,36.015,0,0,23.99000006,148.01,103.995,0,15.995,0,3030.875,291.9900001
1993,9,18,261,77.2667,118.5333,0,200,230,MultiNet,150,31,0,0,0,138.445,2253.31,0,665.87,40,0,0,125.445,380.005,280.005,0,8,0,3097.625,793.455,0,0,0,138.445,2253.31,0,665.87,40,0,0,125.4450003,380.005,280.005,0,8,0,3097.625,793.4550003
1993,9,20,263,66.325,33.65666667,0,65,65,Juday Net (Tropical or Large),168,30,0,0,0,640,85,0,0,0,0,0,0,0,0,0,0,0,725,0,0,0,0,640,85,0,0,0,0,0,0,0,0,0,0,0,725,0
1993,9,20,263,78.2667,109.25,0,30,51,MultiNet,150,31,0,0,0,794.06,553.89,0,20,0,0,0,64,8,16,0,0,0,1367.95,88,0,0,0,794.06,553.89,0,20,0,0,0,64.00000015,8,16,0,0,0,1367.95,88.00000015
1993,9,20,263,78.4667,110.8167,0,80,101,MultiNet,150,31,0,0,0,204.01,619.985,0,361.36,0,0,4.005,36.005,80.005,67.985,0,7.99,0,1185.355,195.99,0,0,0,204.01,619.985,0,361.36,0,0,4.005004211,36.00500008,80.005,67.985,0,7.99,0,1185.355,195.9900043
1993,9,21,264,78.7,112.5333,0,500,518,MultiNet,150,31,0,0,0,183.25,936.25,0,448.675,3.9,0,3.9,36.1,212.1,1227.9,0,171.9,0,1572.075,1651.9,0,0,0,183.25,936.25,0,448.675,3.9,0,3.900004101,36.10000008,212.1,1227.9,0,171.9,0,1572.075,1651.900004
1993,9,21,264,78.75,112.7,0,1100,1141,MultiNet,150,31,0,0,0,260.1,1352,0,1008.35,4.05,0,0,8.1,183.75,719.75,0,115.95,0,2624.5,1027.55,0,0,0,260.1,1352,0,1008.35,4.05,0,0,8.100000019,183.75,719.75,0,115.95,0,2624.5,1027.55
1993,9,22,265,48.66667,-68.58333,0,250,340,Ring net 1.0m (1.0 m),333,34,,,,,,,,,,,,,,,2546.475,,0,2546.475,,,,,,,,,,,,,,,2546.475,,0,2546.475
1993,9,22,265,78.5833,111.3667,0,200,235,MultiNet,150,31,0,0,0,239.005,1140.4,0,339.855,8,0,0,9.1,80,136,0,4,0,1727.26,229.1,0,0,0,239.005,1140.4,0,339.855,8,0,0,9.100000021,80,136,0,4,0,1727.26,229.1
1993,9,30,273,66.325,33.65666667,0,65,65,Juday Net (Tropical or Large),168,30,0,0,0,475,175,0,0,0,0,0,0,0,0,0,0,0,650,0,0,0,0,475,175,0,0,0,0,0,0,0,0,0,0,0,650,0
1993,10,10,283,66.325,33.65666667,0,65,65,Juday Net (Tropical or Large),168,30,0,0,0,55,40,0,0,40,0,0,0,0,0,0,0,0,135,0,0,0,0,55,40,0,0,40,0,0,0,0,0,0,0,0,135,0
1993,10,20,293,66.325,33.65666667,0,65,65,Juday Net (Tropical or Large),168,30,0,0,0,80,40,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,80,40,0,0,0,0,0,0,0,0,0,0,0,120,0
1993,11,2,306,66.325,33.65666667,0,65,65,Juday Net (Tropical or Large),168,30,0,0,0,80,55,0,40,55,0,0,0,0,0,0,0,0,230,0,0,0,0,80,55,0,40,55,0,0,0,0,0,0,0,0,230,0
1993,11,16,320,66.325,33.65666667,0,65,65,Juday Net (Tropical or Large),168,30,0,0,0,75,65,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,75,65,0,0,0,0,0,0,0,0,0,0,0,140,0
1994,6,11,162,66.325,33.65666667,0,65,65,Juday Net (Tropical or Large),168,30,14100,2310,100,0,280,0,0,80,0,0,0,0,0,0,0,0,16870,0,14137.35986,2310.07947,100.000003,0,280,0,0,80,0,0,0,0,0,0,0,0,16907.43933,0
1994,6,20,171,66.325,33.65666667,0,65,65,Juday Net (Tropical or Large),168,30,14125,11125,2125,145,95,0,0,40,0,0,0,0,0,0,0,0,27655,0,14162.4261,11125.38273,2125.000064,145,95,0,0,40,0,0,0,0,0,0,0,0,27692.80889,0
1994,6,30,181,66.325,33.65666667,0,65,65,Juday Net (Tropical or Large),168,30,100,100,720,1535,120,0,0,55,0,0,0,0,0,0,0,0,2630,0,100.2649635,100.0034403,720.0000216,1535,120,0,0,55,0,0,0,0,0,0,0,0,2630.268425,0
1994,7,11,192,66.325,33.65666667,0,65,65,Juday Net (Tropical or Large),168,30,0,0,2460,4075,280,0,0,40,0,0,0,0,0,0,0,0,6855,0,0,0,2460.000074,4075,280,0,0,40,0,0,0,0,0,0,0,0,6855.000074,0
1994,7,20,201,66.325,33.65666667,0,65,65,Juday Net (Tropical or Large),168,30,0,0,715,3370,55,0,0,40,0,0,0,0,0,0,0,0,4180,0,0,0,715.0000214,3370,55,0,0,40,0,0,0,0,0,0,0,0,4180.000021,0
